EXPOCODE,Institute,END,chief_investigator,ship_records,,cruise_report_citation,EXPOCODE_synonyms,profile_citation,underway_citation,pigment_citation,POC_citation
320620050128,Lamont-Doherty Earth Observatory,20050215,Arnold Gordon,https://www.usap.gov/usapgov/vesselscienceandoperations/,,320620050128_report,IVARS; NBP05-01,,320620050128_uwy,MAREDAT_1; MAREDAT_2,IVARS_poc
320620060131,Verginia Institute of Marine Science,20060202,Walker Smith,https://www.usap.gov/usapgov/vesselscienceandoperations/,,320620060131_report,IVARS; NPB06-01A,320620060131_prof,320620060131_uwy,MAREDAT_1; MAREDAT_2,IVARS_poc
320620161224,University of Rhode Island,20170120,Tatiana Rynearson,https://www.usap.gov/usapgov/vesselscienceandoperations/,,,NBP17-01,,,,
320620151207,Woods Hole Oceanographic Instritution,20160104,Kelly Michael,https://www.usap.gov/usapgov/vesselscienceandoperations/,,?,NBP15-11,,,,
320620170410,The University of Texas at San Antonio,20170614,Stephen Ackley; Christopher Zappa; Peter Sedwick,https://www.usap.gov/usapgov/vesselscienceandoperations/,,,NBP17-04,,,,
320620170703,,20170817,Mecking Sabine,https://www.usap.gov/usapgov/vesselscienceandoperations/,,,NBP17-06,,,,
320620180309,Woods Hole Oceanographic Instritution,20180514,Alison Macdonald,https://www.usap.gov/usapgov/vesselscienceandoperations/,,,NBP18-02,,,,
320620140320,Scripps Institute of Oceanography,20140505,Talley Lynne,https://www.usap.gov/usapgov/vesselscienceandoperations/,,,NBP14-03,,,,
320620110219,Scripps Institute of Oceanography,20110423,Jim Swift,https://www.usap.gov/usapgov/vesselscienceandoperations/,,,NBP11-02,,,,
320619961211,Stanford University,19960108,Robert Dunbar,https://www.usap.gov/usapgov/vesselscienceandoperations/,,,ROAVERS 96; NBP96-6,,,,
320619971220,Stanford University,19980110,Robert Dunbar,https://www.usap.gov/usapgov/vesselscienceandoperations/,,,ROAVERS 97; NBP97-9 ,,,,
33LG19980122,Palmer LTER - NSF,19980220,David Karl,https://www.usap.gov/usapgov/vesselscienceandoperations/,,,LMG98-01,PAL-LTER_prof,, PAL-LTER_pig_hplc,PAL-LTER_poc
33LG19990102,Palmer LTER - NSF,19990212,Robin M. Ross,https://www.usap.gov/usapgov/vesselscienceandoperations/,,33LG19990102_report_a; 33LG19990102_report_b; 33LG19990102_report_c; 33LG19990102_report_d; 33LG19990102_report_e,LMG99-01,PAL-LTER_prof,,PAL-LTER_pig_chl; PAL-LTER_pig_hplc,PAL-LTER_poc
33LG19991217,Palmer LTER - NSF,20000201,Maria Vernet,https://www.usap.gov/usapgov/vesselscienceandoperations/,,33LG19991217_report_a; 33LG19991217_report_b; 33LG19991217_report_c,"LMG00-01, lmg001",PAL-LTER_prof,,PAL-LTER_pig_chl; PAL-LTER_pig_hplc,PAL-LTER_poc
33LG20010104,Palmer LTER - NSF,20010131,Robin M. Ross,https://www.usap.gov/usapgov/vesselscienceandoperations/,,33LG20010104_report_a; 33LG20010104_report_b; 33LG20010104_report_c,"LMG01-01, lmg101",PAL-LTER_prof,,PAL-LTER_pig_chl; PAL-LTER_pig_hplc,PAL-LTER_poc
33LG20020102,Palmer LTER - NSF,20020201,Robin M. Ross,https://www.usap.gov/usapgov/vesselscienceandoperations/,,,"LMG02-01, lmg301",PAL-LTER_prof,,PAL-LTER_pig_chl,PAL-LTER_poc
33LG20021231,Palmer LTER - NSF,20030208,Hugh Ducklow,https://www.usap.gov/usapgov/vesselscienceandoperations/,,,"LMG03-01, lmg401",PAL-LTER_prof,,PAL-LTER_pig_chl; PAL-LTER_pig_hplc,PAL-LTER_poc
33LG20040101,Palmer LTER - NSF,20040207,Hugh Ducklow,https://www.usap.gov/usapgov/vesselscienceandoperations/,,,"LMG04-01, lmg601",PAL-LTER_prof,,PAL-LTER_pig_chl; PAL-LTER_pig_hplc,PAL-LTER_poc
33LG20040212,Palmer LTER - NSF,20040324,Christopher Measures,https://www.usap.gov/usapgov/vesselscienceandoperations/,,,LMG04-2,,,Greg Mitchell,Greg Mitchell
33LG20041229,Palmer LTER - NSF,20050206,Hugh Ducklow,https://www.usap.gov/usapgov/vesselscienceandoperations/,,,"LMG05-01, lmg9801",PAL-LTER_prof,,PAL-LTER_pig_chl; PAL-LTER_pig_hplc,PAL-LTER_poc
